time,S,C,ε,γ,κ,β,θ,K
77.0,1881.7798,118.21929,0.0031667626,0.05,0.071428575,0.01,0.001,0.2
84.0,1881.7053,118.29448,0.0031777425,0.05,0.071428575,0.01,0.001,0.2
91.0,1881.6569,118.34357,0.0031848908,0.05,0.071428575,0.01,0.001,0.2
98.0,1881.6246,118.37537,0.0031895537,0.05,0.071428575,0.01,0.001,0.2
105.0,1881.6049,118.39604,0.0031925894,0.05,0.071428575,0.01,0.001,0.2
112.0,1881.5901,118.409676,0.0031945657,0.05,0.071428575,0.01,0.001,0.2
119.0,1881.5812,118.41852,0.0031958532,0.05,0.071428575,0.01,0.001,0.2
126.0,1881.5756,118.42423,0.0031966923,0.05,0.071428575,0.01,0.001,0.2
133.0,1881.571,118.428055,0.0031972397,0.05,0.071428575,0.01,0.001,0.2
140.0,1881.5697,118.4304,0.0031975943,0.05,0.071428575,0.01,0.001,0.2
147.0,1881.5664,118.43203,0.003197822,0.05,0.071428575,0.01,0.001,0.2
154.0,1881.566,118.433044,0.0031979766,0.05,0.071428575,0.01,0.001,0.2
161.0,1881.5662,118.4337,0.003198076,0.05,0.071428575,0.01,0.001,0.2
168.0,1881.5658,118.43408,0.0031981359,0.05,0.071428575,0.01,0.001,0.2
175.0,1881.5657,118.43443,0.0031981808,0.05,0.071428575,0.01,0.001,0.2
182.0,1881.5652,118.43462,0.0031982113,0.05,0.071428575,0.01,0.001,0.2
189.0,1881.5641,118.434746,0.003198228,0.05,0.071428575,0.01,0.001,0.2
196.0,1881.5651,118.434814,0.0031982379,0.05,0.071428575,0.01,0.001,0.2
203.0,1881.5653,118.43487,0.003198245,0.05,0.071428575,0.01,0.001,0.2
210.0,1881.5668,118.43491,0.0031982516,0.05,0.071428575,0.01,0.001,0.2
217.0,1881.5651,118.43492,0.0031982535,0.05,0.071428575,0.01,0.001,0.2
224.0,1881.5648,118.434944,0.0031982572,0.05,0.071428575,0.01,0.001,0.2
231.0,1881.565,118.43495,0.0031982567,0.05,0.071428575,0.01,0.001,0.2
238.0,1881.565,118.43494,0.0031982579,0.05,0.071428575,0.01,0.001,0.2
245.0,1881.5648,118.43496,0.003198256,0.05,0.071428575,0.01,0.001,0.2
252.0,1881.565,118.43496,0.0031982588,0.05,0.071428575,0.01,0.001,0.2
259.0,1881.565,118.43496,0.003198259,0.05,0.071428575,0.01,0.001,0.2
266.0,1881.5648,118.43495,0.0031982565,0.05,0.071428575,0.01,0.001,0.2
273.0,1881.5651,118.43497,0.0031982593,0.05,0.071428575,0.01,0.001,0.2
280.0,1881.5654,118.43498,0.0031982593,0.05,0.071428575,0.01,0.001,0.2
287.0,1881.5663,118.43504,0.0031982593,0.05,0.071428575,0.01,0.001,0.2
294.0,1881.5651,118.43497,0.0031982593,0.05,0.071428575,0.01,0.001,0.2
301.0,1881.5654,118.43499,0.0031982593,0.05,0.071428575,0.01,0.001,0.2
308.0,1881.5663,118.43504,0.0031982593,0.05,0.071428575,0.01,0.001,0.2
315.0,1881.5651,118.43497,0.0031982593,0.05,0.071428575,0.01,0.001,0.2
322.0,1881.5654,118.43499,0.0031982593,0.05,0.071428575,0.01,0.001,0.2
329.0,1881.5663,118.43505,0.0031982593,0.05,0.071428575,0.01,0.001,0.2
